date,open,high,low,close,volume,symbol
02-05-2025,2926.488338,2976.089835,2887.005497,2893.949707,2868096,M&M
05-05-2025,2925.396987,3019.739131,2914.2863,2997.418457,4049197,M&M
06-05-2025,3125.489635,3134.516962,3031.643506,3043.94458,5683215,M&M
07-05-2025,2997.815243,3100.093629,2997.815243,3095.03418,2942902,M&M
08-05-2025,3102.474504,3111.998089,2984.522235,3008.92627,3323894,M&M
09-05-2025,2937.996149,3032.735014,2931.448654,2958.332764,2308852,M&M
12-05-2025,3020.433526,3087.395547,3009.521196,3079.955322,2166730,M&M
13-05-2025,3025.691419,3086.205248,3010.81097,3029.461182,2681662,M&M
14-05-2025,3013.291038,3085.213211,2993.946453,3077.078613,2236302,M&M
15-05-2025,3060.412323,3145.429239,3048.507964,3119.239746,3590003,M&M
16-05-2025,3110.01406,3124.398495,3090.17346,3110.609375,2269659,M&M
19-05-2025,3090.173434,3131.838694,3078.864389,3103.069824,2011149,M&M
20-05-2025,3103.268029,3110.311539,3024.798606,3039.08374,2667772,M&M
21-05-2025,3038.587714,3107.03778,3023.806564,3066.066895,1395136,M&M
22-05-2025,3052.079601,3065.174349,2956.745421,2982.339844,3870830,M&M
23-05-2025,2995.930588,3006.644561,2960.415866,2988.688721,1828093,M&M
26-05-2025,3013.787019,3076.284906,3003.569062,3055.650635,2164190,M&M
27-05-2025,3055.650668,3060.41246,2990.573647,3015.572754,2599143,M&M
28-05-2025,3015.473429,3020.532879,2969.145678,2973.907471,1491995,M&M
29-05-2025,2975.097767,3004.759365,2963.391765,2985.018066,2093429,M&M
30-05-2025,2981.050149,2993.351224,2933.432709,2953.074951,3700191,M&M
02-06-2025,2953.07492,3014.283122,2938.690485,3001.783447,2967741,M&M
03-06-2025,3017.755104,3040.373435,3002.874654,3022.219238,3204094,M&M
04-06-2025,3020.830554,3062.396513,3015.870404,3029.064209,1584653,M&M
05-06-2025,3053.468192,3070.332701,2970.931348,3017.358398,3504632,M&M
06-06-2025,3017.358321,3088.089861,3002.874588,3081.740967,2028071,M&M
09-06-2025,3105.053786,3115.966116,3053.468228,3062.793213,1364639,M&M
10-06-2025,3077.277037,3082.137887,3035.413419,3043.052002,1787253,M&M
11-06-2025,3060.412506,3099.101675,3051.484236,3056.146729,1749787,M&M
12-06-2025,3063.388426,3069.340606,2983.034002,2995.136719,2278398,M&M
13-06-2025,2908.631777,2994.442366,2908.631777,2982.041992,2003184,M&M
16-06-2025,2977.081979,3020.731298,2964.284889,2999.501953,1673726,M&M
17-06-2025,3018.747143,3018.747143,2970.137675,2983.232422,1455355,M&M
18-06-2025,2976.089778,3050.392722,2962.796674,3016.862305,2161043,M&M
19-06-2025,3013.786929,3082.137694,3010.017167,3070.134277,2482920,M&M
20-06-2025,3075.29279,3177.471873,3065.670148,3159.02002,8315834,M&M
23-06-2025,3138.38607,3159.020099,3097.811899,3110.013916,1731432,M&M
24-06-2025,3129.953802,3190.963644,3111.799606,3124.993652,2834887,M&M
25-06-2025,3154.655251,3199.792614,3135.310667,3189.872314,2078771,M&M
26-06-2025,3200.189279,3212.192938,3158.127306,3190.169922,2907261,M&M
27-06-2025,3179.455934,3215.665026,3161.698695,3177.769531,5098406,M&M
30-06-2025,3179.852851,3194.138229,3135.806817,3157.829834,2083572,M&M
01-07-2025,3162.591436,3192.352334,3142.949195,3150.786377,1407074,M&M
02-07-2025,3142.750877,3177.174268,3128.5648,3139.973145,1559309,M&M
03-07-2025,3139.973226,3195.328547,3139.576511,3149.099854,2102806,M&M
04-07-2025,3161.100098,3177,3134.100098,3162.5,968006,M&M
07-07-2025,3162.5,3173,3152.100098,3160.199951,853459,M&M
08-07-2025,3150,3168,3123,3157.899902,1513129,M&M
09-07-2025,3145,3189,3141,3176.300049,1245661,M&M
10-07-2025,3172.100098,3192.600098,3137.600098,3162.399902,1701384,M&M
11-07-2025,3158,3162.399902,3062.399902,3073.199951,3041614,M&M
14-07-2025,3072.800049,3104.800049,3053.600098,3092.100098,2958843,M&M
15-07-2025,3086.100098,3148.300049,3082.899902,3128.600098,2826720,M&M
16-07-2025,3128.600098,3210,3082.399902,3196.5,2892812,M&M
17-07-2025,3186.300049,3238,3171,3195,3267180,M&M
18-07-2025,3208,3252,3176.699951,3192.399902,2040381,M&M
21-07-2025,3177,3253.600098,3152.800049,3246.699951,2436535,M&M
22-07-2025,3246.699951,3271.899902,3210.5,3257.199951,1854072,M&M
23-07-2025,3260,3303,3248,3268.800049,2159800,M&M
24-07-2025,3255,3286.5,3243.699951,3260.899902,1469406,M&M
25-07-2025,3256,3259,3214,3246.399902,1475856,M&M
28-07-2025,3246.399902,3256.899902,3199.199951,3209.800049,1939520,M&M
29-07-2025,3203,3225.899902,3186.600098,3199.399902,1824673,M&M
30-07-2025,3195,3241.600098,3151.899902,3208.899902,2199654,M&M
31-07-2025,3225,3238.199951,3135.600098,3203.100098,4465859,M&M
01-08-2025,3205,3205,3116.699951,3159.300049,3781457,M&M
04-08-2025,3170,3223,3160,3200.199951,2684012,M&M
05-08-2025,3195,3222,3170.100098,3212.199951,1805644,M&M
06-08-2025,3212.199951,3240.100098,3178.600098,3227.5,1866321,M&M
07-08-2025,3198,3229.600098,3161.100098,3211.100098,2374621,M&M
